author,s_count,s_mean,s_std,s_min,s_25,s_50,s_75,s_max,comp,neg,neu,pos,rating
judy berman,1.0,7.6,,7.6,7.6,7.6,7.6,7.6,-0.04,0.08,0.24,0.89,7.6
julian kimble,5.0,6.98,0.71,6.1,6.5,7.0,7.4,7.9,-0.03,0.12,0.35,0.86,6.98
julianne escobedo shepherd,53.0,6.81,1.74,2.9,5.9,7.2,8.2,9.0,-0.12,0.1,0.29,0.84,6.81
kasia galazka,4.0,5.72,0.82,5.0,5.38,5.5,5.85,6.9,-0.07,0.12,0.34,0.83,5.72
katherine st asaph,3.0,6.6,0.52,6.0,6.45,6.9,6.9,6.9,-0.03,0.11,0.36,0.86,6.6
katherine st. asaph,63.0,6.68,0.87,4.0,6.0,6.8,7.3,8.6,-0.1,0.09,0.28,0.86,6.68
kathy iandoli,9.0,6.56,0.84,5.1,6.1,6.5,7.2,7.8,-0.07,0.11,0.31,0.86,6.56
keith brasel,1.0,7.0,,7.0,7.0,7.0,7.0,7.0,-0.14,0.09,0.29,0.83,7.0
kevin adickes,33.0,6.43,1.83,2.8,5.5,6.8,8.0,9.2,-0.08,0.1,0.3,0.85,6.43
kevin lozano,53.0,6.94,1.16,3.5,6.0,7.1,7.9,8.7,-0.09,0.09,0.27,0.86,6.94
kevin lozano ,1.0,6.9,,6.9,6.9,6.9,6.9,6.9,-0.01,0.11,0.31,0.86,6.9
kim fing shannon,1.0,5.9,,5.9,5.9,5.9,5.9,5.9,-0.19,0.07,0.25,0.85,5.9
kim kelly,65.0,7.27,0.73,5.5,6.6,7.4,7.9,8.4,-0.18,0.1,0.3,0.82,7.27
kim shannon,6.0,7.32,0.53,6.7,6.93,7.3,7.6,8.1,-0.15,0.09,0.25,0.84,7.32
kris ex,16.0,7.63,1.35,5.0,6.9,8.0,8.43,10.0,-0.09,0.1,0.31,0.86,7.63
kris ex ,1.0,8.6,,8.6,8.6,8.6,8.6,8.6,-0.08,0.06,0.26,0.9,8.6
kristin sage rockermann,21.0,6.45,1.25,3.8,5.9,6.5,7.0,8.5,-0.12,0.08,0.23,0.86,6.45
kristin sage rockermann & chip chanko,2.0,8.5,0.0,8.5,8.5,8.5,8.5,8.5,-0.01,0.16,0.38,0.84,8.5
kyle kramer,15.0,6.67,0.73,5.1,6.25,6.6,7.2,7.6,-0.03,0.13,0.4,0.85,6.67
kyle reiter,9.0,6.22,2.27,2.9,4.9,6.9,7.3,9.0,-0.11,0.1,0.29,0.86,6.22
larry fitzmaurice,281.0,6.93,1.13,2.0,6.2,7.1,7.8,9.1,-0.09,0.1,0.32,0.86,6.93
laura snapes,117.0,6.97,1.3,2.6,6.2,7.4,7.8,10.0,-0.13,0.1,0.32,0.84,6.97
lawrence burney,3.0,6.7,0.66,6.0,6.4,6.8,7.05,7.3,-0.2,0.1,0.28,0.83,6.7
leonard pierce,3.0,7.5,0.35,7.1,7.4,7.7,7.7,7.7,-0.15,0.11,0.33,0.84,7.5
leor galil,1.0,7.3,,7.3,7.3,7.3,7.3,7.3,0.01,0.09,0.34,0.91,7.3
liam singer,35.0,7.72,0.8,5.3,7.25,7.8,8.25,9.3,-0.07,0.1,0.31,0.87,7.72
lindsay hood,4.0,6.43,0.96,5.0,6.35,6.8,6.88,7.1,-0.06,0.12,0.3,0.84,6.43
lindsay zoladz,137.0,7.32,0.98,4.3,6.7,7.4,7.9,9.2,-0.08,0.11,0.33,0.85,7.32
lisa blanning,2.0,7.1,0.14,7.0,7.05,7.1,7.15,7.2,-0.04,0.09,0.25,0.87,7.1
liz colville,62.0,6.39,1.43,1.5,5.72,6.7,7.38,8.6,-0.06,0.11,0.34,0.85,6.39
liz pelly,3.0,7.37,0.32,7.0,7.25,7.5,7.55,7.6,-0.1,0.11,0.38,0.83,7.37
loren ludwig & jascha hoffman,1.0,8.4,,8.4,8.4,8.4,8.4,8.4,-0.08,0.09,0.26,0.88,8.4
louis pattison,20.0,7.16,0.66,6.0,6.75,7.05,7.7,8.5,-0.1,0.08,0.27,0.87,7.16
luke buckman,19.0,7.98,1.4,5.0,7.1,8.2,9.05,10.0,-0.09,0.08,0.22,0.88,7.98
malcolm seymour iii,10.0,6.09,2.41,2.0,4.22,6.25,8.12,9.4,-0.09,0.09,0.24,0.86,6.09
marc hogan,541.0,6.54,1.53,0.9,5.9,6.8,7.6,9.2,-0.08,0.11,0.3,0.85,6.54
marc masters,419.0,7.46,0.65,4.3,7.1,7.5,7.8,9.8,-0.07,0.1,0.28,0.86,7.46
marcus j. moore,44.0,7.16,0.93,3.5,6.88,7.25,7.52,9.4,-0.07,0.11,0.33,0.85,7.16
marcus k. dowling,4.0,7.15,0.1,7.0,7.15,7.2,7.2,7.2,-0.07,0.11,0.37,0.87,7.15
maria sherman,1.0,7.0,,7.0,7.0,7.0,7.0,7.0,-0.09,0.11,0.23,0.85,7.0
mark martelli,39.0,6.16,2.13,1.1,6.0,6.8,7.3,9.0,-0.16,0.09,0.28,0.84,6.16
mark pytlik,143.0,6.96,1.65,2.6,6.0,7.4,8.15,9.3,-0.07,0.1,0.33,0.86,6.96
mark richard-san,173.0,7.25,1.29,2.5,6.5,7.5,8.1,9.6,-0.07,0.11,0.29,0.86,7.25
mark richard-san & ryan schreiber,2.0,6.1,0.0,6.1,6.1,6.1,6.1,6.1,-0.05,0.1,0.19,0.85,6.1
mark richardson,614.0,7.53,1.3,1.0,6.8,7.8,8.4,10.0,-0.06,0.1,0.3,0.87,7.54
mark richardson & nick sylvester,4.0,7.3,0.0,7.3,7.3,7.3,7.3,7.3,-0.11,0.09,0.31,0.86,7.3
martin clark,1.0,8.5,,8.5,8.5,8.5,8.5,8.5,-0.12,0.07,0.21,0.83,8.5
martin douglas,56.0,7.13,0.59,5.3,6.8,7.3,7.5,8.1,-0.08,0.11,0.35,0.86,7.13
matt kallman,10.0,7.27,0.87,5.1,7.1,7.4,7.62,8.2,-0.11,0.09,0.26,0.85,7.27
matt lemay,255.0,7.39,1.63,0.0,6.5,7.7,8.45,10.0,-0.09,0.12,0.33,0.83,7.37
matt stephens,5.0,4.56,2.29,2.6,2.6,4.7,4.7,8.2,-0.16,0.12,0.36,0.83,4.56
matt wellins,1.0,8.7,,8.7,8.7,8.7,8.7,8.7,-0.05,0.09,0.35,0.88,8.7
matthew grosinger,2.0,6.65,0.92,6.0,6.32,6.65,6.98,7.3,-0.11,0.1,0.32,0.83,6.65
matthew ismael ruiz,2.0,7.5,0.85,6.9,7.2,7.5,7.8,8.1,-0.1,0.08,0.27,0.86,7.5
matthew murphy,356.0,7.26,0.69,3.7,7.0,7.4,7.7,9.5,-0.08,0.09,0.32,0.87,7.26
matthew perpetua,90.0,6.64,1.47,2.0,6.2,6.7,7.6,10.0,-0.07,0.13,0.37,0.84,6.64
matthew ramirez,30.0,6.31,1.17,4.0,5.35,6.7,7.2,8.5,-0.07,0.11,0.33,0.85,6.31
matthew schnipper,3.0,7.13,1.61,5.3,6.55,7.8,8.05,8.3,-0.01,0.12,0.28,0.86,7.13
matthew solarski,22.0,7.27,0.59,6.0,7.0,7.3,7.68,8.3,-0.09,0.1,0.34,0.86,7.27
matthew stephens,2.0,8.15,0.35,7.9,8.02,8.15,8.28,8.4,-0.03,0.15,0.46,0.85,8.15
matthew strauss,16.0,6.59,0.7,5.0,6.28,6.75,7.12,7.5,-0.08,0.11,0.31,0.84,6.59
matthew wellins,7.0,5.77,1.46,3.3,5.15,5.4,7.1,7.2,-0.1,0.1,0.32,0.85,5.77
maud deitch,5.0,5.74,2.16,2.0,6.2,6.3,6.6,7.6,-0.06,0.08,0.29,0.88,5.74
maura johnston,2.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,-0.13,0.09,0.35,0.82,10.0
max mertens,2.0,7.3,0.71,6.8,7.05,7.3,7.55,7.8,-0.09,0.1,0.41,0.86,7.3
meaghan garvey,40.0,7.11,1.04,3.0,6.88,7.25,7.62,8.4,-0.08,0.1,0.32,0.86,7.11
meg zamula,8.0,6.75,0.87,5.8,5.95,6.65,7.52,8.0,-0.05,0.11,0.28,0.86,6.75
mehan jayasuriya,28.0,6.44,0.83,4.7,6.12,6.65,6.93,8.0,-0.06,0.1,0.3,0.86,6.44
melody lau,2.0,6.6,0.71,6.1,6.35,6.6,6.85,7.1,-0.12,0.08,0.35,0.9,6.1
mia clarke,31.0,7.32,0.94,4.5,6.9,7.5,8.0,8.3,-0.04,0.13,0.41,0.86,7.32
mia lily clarke,25.0,7.29,0.61,6.2,6.8,7.0,7.7,8.4,-0.08,0.1,0.32,0.86,7.29
michael bernstein,5.0,7.32,1.28,6.0,6.0,7.7,8.0,8.9,-0.11,0.09,0.23,0.86,7.32
michael idov,45.0,6.02,2.14,0.8,5.1,6.4,7.7,8.7,-0.11,0.1,0.26,0.85,6.02
michael j. agovino,2.0,7.95,0.64,7.5,7.72,7.95,8.18,8.4,-0.02,0.1,0.31,0.88,7.95
michael sandlin,26.0,5.67,2.37,0.3,4.4,6.3,7.3,8.6,-0.14,0.1,0.27,0.81,5.67
michael wartenbe,2.0,7.6,0.0,7.6,7.6,7.6,7.6,7.6,-0.08,0.09,0.26,0.87,7.6
mike bernstein,5.0,8.44,0.13,8.2,8.5,8.5,8.5,8.5,-0.08,0.1,0.28,0.84,8.44
mike madden,9.0,6.74,0.65,5.5,6.5,6.8,7.0,7.6,-0.08,0.09,0.31,0.88,6.74
mike mcgonigal,17.0,8.04,0.44,6.8,7.8,8.2,8.3,8.6,-0.09,0.1,0.28,0.86,8.04
mike orme,50.0,6.81,0.86,4.5,6.43,6.85,7.4,8.5,-0.08,0.1,0.31,0.85,6.81
mike powell,203.0,7.33,1.08,3.5,6.9,7.5,8.0,10.0,-0.08,0.1,0.29,0.86,7.33
miles raymer,116.0,7.09,0.88,3.9,6.6,7.2,7.7,9.0,-0.06,0.11,0.37,0.87,7.09
minna zhou,11.0,7.14,0.66,5.8,6.9,7.3,7.55,8.0,-0.05,0.07,0.23,0.91,7.14
minna zhou ,1.0,7.4,,7.4,7.4,7.4,7.4,7.4,-0.02,0.1,0.33,0.88,7.4
molly beauchemin,5.0,6.68,0.36,6.2,6.4,6.9,6.9,7.0,-0.07,0.11,0.35,0.85,6.68
mosi reeves,6.0,6.93,0.39,6.3,6.82,6.95,7.07,7.5,-0.08,0.09,0.24,0.86,6.93
natalie moore,1.0,5.7,,5.7,5.7,5.7,5.7,5.7,-0.28,0.07,0.25,0.78,5.7
nate patrin,427.0,7.04,1.23,2.8,6.5,7.3,7.8,10.0,-0.1,0.09,0.32,0.86,7.04
nate patrin ,3.0,5.6,0.0,5.6,5.6,5.6,5.6,5.6,-0.05,0.1,0.38,0.86,5.6
nathan humpal,1.0,7.5,,7.5,7.5,7.5,7.5,7.5,-0.16,0.11,0.31,0.86,7.5
nathan reese,18.0,6.88,0.9,4.9,6.52,7.2,7.5,8.0,-0.08,0.1,0.29,0.87,6.88
nathan rooney,13.0,6.92,1.7,4.2,5.6,7.0,8.5,9.0,-0.09,0.11,0.28,0.85,6.92
ned raggett,28.0,7.69,0.65,6.7,7.38,7.5,8.22,9.0,-0.04,0.11,0.39,0.87,7.69
neil lieberman,13.0,6.26,1.57,4.0,4.8,6.0,7.3,9.4,-0.09,0.12,0.29,0.83,6.26
neil robertson,13.0,6.5,1.32,3.7,6.7,6.9,7.0,8.3,-0.14,0.1,0.3,0.82,6.5
nelson george,2.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,-0.05,0.09,0.32,0.88,10.0
nicholas b. sylvester,16.0,6.75,1.56,3.0,6.18,7.2,7.75,8.7,-0.09,0.1,0.29,0.85,6.75
nick mirov,39.0,7.0,1.42,2.4,6.3,7.1,8.0,9.0,-0.11,0.1,0.28,0.85,7.0
nick neyland,253.0,6.85,0.73,4.6,6.4,6.8,7.4,9.2,-0.08,0.09,0.3,0.87,6.85
nick sylvester,165.0,6.67,1.82,0.5,6.2,7.4,7.8,9.0,-0.11,0.1,0.3,0.84,6.72
nina corcoran,6.0,7.32,0.39,6.8,7.12,7.25,7.52,7.9,-0.1,0.08,0.27,0.86,7.32
nina mashurova,3.0,7.4,0.69,6.6,7.2,7.8,7.8,7.8,-0.15,0.08,0.24,0.86,7.4
nitsuh abebe,191.0,7.37,1.11,3.4,6.9,7.5,8.05,10.0,-0.05,0.12,0.36,0.85,7.36
noah sutcliffe,3.0,4.77,1.85,3.7,3.7,3.7,5.3,6.9,-0.17,0.08,0.26,0.84,4.77
oliver lache,2.0,5.6,0.0,5.6,5.6,5.6,5.6,5.6,-0.23,0.07,0.22,0.85,5.6
p.j. gallagher,1.0,8.0,,8.0,8.0,8.0,8.0,8.0,-0.1,0.12,0.27,0.87,8.0
pat healy,18.0,6.61,0.97,4.9,5.78,6.85,7.4,8.2,-0.05,0.11,0.3,0.86,6.61
patric fallon,17.0,6.73,0.91,5.0,5.9,6.9,7.4,8.0,-0.05,0.09,0.3,0.88,6.73
patrick bowman,9.0,6.42,0.71,5.5,6.0,6.0,7.0,7.5,-0.08,0.1,0.37,0.87,6.42
patrick sisson,32.0,6.75,0.78,4.5,6.38,6.8,7.2,8.0,-0.07,0.1,0.3,0.87,6.75
patrick sisson ,2.0,6.9,0.0,6.9,6.9,6.9,6.9,6.9,-0.09,0.07,0.24,0.88,6.9
patrick st. michel,24.0,7.05,0.62,6.0,6.7,7.0,7.32,8.8,-0.05,0.11,0.34,0.87,7.05
paul a. thompson,19.0,7.31,0.48,6.2,6.95,7.3,7.65,8.0,-0.15,0.08,0.24,0.86,7.31
paul cooper,162.0,6.75,1.73,2.2,5.85,7.0,7.9,9.5,-0.09,0.09,0.25,0.86,6.75
paul thompson,270.0,6.68,1.05,2.8,6.0,6.8,7.4,10.0,-0.08,0.11,0.33,0.86,6.68
paula mejia,2.0,7.4,0.28,7.2,7.3,7.4,7.5,7.6,-0.2,0.06,0.26,0.86,7.4
pete nicholson,2.0,7.65,0.92,7.0,7.32,7.65,7.98,8.3,-0.12,0.08,0.22,0.81,7.65
peter macia,50.0,6.96,1.57,0.6,6.0,7.65,8.0,8.8,-0.12,0.09,0.25,0.84,6.96
philip shelley,4.0,7.55,0.82,6.5,7.32,7.6,7.82,8.5,-0.08,0.09,0.26,0.86,7.55
philip sherburne,228.0,7.58,0.8,4.0,7.2,7.7,8.0,9.7,-0.07,0.09,0.28,0.88,7.58
philip sherburne ,1.0,8.2,,8.2,8.2,8.2,8.2,8.2,-0.07,0.06,0.28,0.9,8.2
philip welsh,1.0,8.6,,8.6,8.6,8.6,8.6,8.6,-0.1,0.1,0.29,0.83,8.6
piotr orlov,3.0,7.17,0.93,6.1,6.85,7.6,7.7,7.8,-0.03,0.12,0.36,0.88,7.17
pj gallagher,2.0,7.5,0.0,7.5,7.5,7.5,7.5,7.5,-0.09,0.11,0.27,0.86,7.5
puja patel,13.0,6.43,0.83,5.0,6.0,6.7,6.8,7.8,-0.12,0.09,0.28,0.85,6.43
quinn moreland,16.0,7.53,0.52,6.5,7.28,7.5,7.72,8.6,-0.1,0.11,0.3,0.85,7.53
rachael maddux,20.0,7.18,0.83,5.1,6.95,7.3,7.8,8.5,-0.12,0.09,0.3,0.86,7.18
rachel khong,22.0,6.71,0.91,5.0,6.05,6.9,7.18,8.3,-0.16,0.12,0.33,0.8,6.69
rawiya kameir,1.0,5.3,,5.3,5.3,5.3,5.3,5.3,-0.01,0.13,0.51,0.83,5.3
ray suzuki,3.0,3.23,5.6,0.0,0.0,0.0,4.85,9.7,-0.29,0.09,0.25,0.78,9.7
raymond cummings,14.0,7.44,0.37,6.9,7.2,7.45,7.75,8.2,-0.11,0.09,0.26,0.85,7.44
rebecca haithcoat,10.0,6.8,1.21,4.8,6.15,7.0,7.7,8.4,-0.1,0.12,0.36,0.83,6.8
rebecca raber,107.0,6.88,0.86,4.8,6.4,7.0,7.5,8.5,-0.08,0.11,0.33,0.85,6.88
renato pagnani,23.0,6.93,0.5,6.0,6.65,7.0,7.35,7.7,-0.06,0.1,0.35,0.87,6.93
richard m. juzwiak,27.0,6.44,1.79,2.2,5.1,7.0,7.75,8.6,-0.09,0.1,0.28,0.85,6.44
rob harvilla,3.0,6.73,1.24,5.3,6.35,7.4,7.45,7.5,-0.17,0.1,0.26,0.82,6.73
rob mitchum,326.0,6.42,1.63,0.4,5.3,6.7,7.6,10.0,-0.11,0.1,0.29,0.85,6.42
robbie mackey,17.0,6.39,1.32,4.4,5.3,5.8,7.7,8.3,-0.11,0.09,0.24,0.85,6.39
robert ham,2.0,6.95,0.35,6.7,6.82,6.95,7.08,7.2,-0.07,0.08,0.26,0.88,6.95
rohan samarth,1.0,7.4,,7.4,7.4,7.4,7.4,7.4,-0.21,0.09,0.25,0.85,7.4
rollie pemberton,64.0,6.5,1.81,2.1,5.98,7.05,7.6,9.2,-0.15,0.11,0.29,0.82,6.5
rollie pemberton & nick sylvester,1.0,9.4,,9.4,9.4,9.4,9.4,9.4,-0.08,0.14,0.34,0.81,9.4
ron hart,10.0,7.38,0.54,6.5,6.9,7.6,7.8,8.0,-0.05,0.11,0.34,0.87,7.38
roque strew,64.0,7.21,0.93,4.1,6.9,7.6,7.7,8.5,-0.08,0.09,0.26,0.86,7.23
ruth saxelby,19.0,7.46,0.68,6.0,7.5,7.6,7.95,8.0,-0.1,0.1,0.27,0.86,7.46
ryan dombal,200.0,6.88,1.58,2.5,5.8,6.95,8.1,10.0,-0.11,0.1,0.28,0.84,6.88
ryan kearney,52.0,6.63,1.65,0.4,5.65,7.0,7.9,9.6,-0.1,0.09,0.24,0.86,6.63
ryan leas,4.0,6.55,1.53,4.5,5.85,6.9,7.6,7.9,-0.07,0.08,0.25,0.88,6.55
ryan schreiber,108.0,7.04,1.67,0.6,6.1,7.4,8.4,9.5,-0.09,0.1,0.28,0.85,7.04
ryan schreiber & alison fields,1.0,7.7,,7.7,7.7,7.7,7.7,7.7,-0.06,0.07,0.23,0.88,7.7
s. murray,18.0,7.27,1.14,5.0,6.63,7.8,8.07,8.3,-0.14,0.08,0.25,0.84,7.27
saby reyes kulkarni,1.0,6.8,,6.8,6.8,6.8,6.8,6.8,-0.11,0.08,0.24,0.86,6.8
saby reyes-kulkarni,57.0,7.14,0.96,4.0,6.7,7.2,7.8,8.9,-0.1,0.09,0.27,0.87,7.14
safy-hallan farah,3.0,7.13,0.35,6.8,6.95,7.1,7.3,7.5,-0.04,0.11,0.3,0.85,7.13
sam chennault,54.0,7.08,1.49,2.2,6.6,7.3,8.07,9.1,-0.13,0.09,0.26,0.84,7.08
sam eccleston,20.0,7.29,1.01,5.8,6.42,7.35,7.9,9.0,-0.09,0.11,0.3,0.84,7.29
sam hockley-smith,17.0,7.11,0.67,5.8,6.8,7.2,7.4,8.6,-0.08,0.1,0.28,0.84,7.11
sam lefebvre,13.0,7.22,0.54,6.1,7.0,7.5,7.6,7.8,-0.19,0.09,0.28,0.81,7.22
sam sodomsky,28.0,7.29,0.82,5.3,6.78,7.5,7.85,8.5,-0.06,0.12,0.37,0.86,7.29
sam ubl,201.0,6.94,1.32,2.0,6.3,7.4,7.8,8.7,-0.09,0.1,0.27,0.85,6.94
samir khan,8.0,6.51,2.02,4.2,5.32,6.0,8.0,10.0,-0.13,0.1,0.28,0.82,6.51
sara sherr,2.0,7.0,0.71,6.5,6.75,7.0,7.25,7.5,-0.14,0.12,0.31,0.79,7.0
sarah sahim,3.0,6.4,1.3,4.9,6.0,7.1,7.15,7.2,-0.12,0.1,0.31,0.83,6.4
sarah zupko,3.0,7.6,2.34,4.9,6.9,8.9,8.95,9.0,-0.01,0.12,0.33,0.88,7.6
sasha geffen,24.0,6.94,0.61,5.8,6.57,6.85,7.32,8.3,-0.12,0.09,0.25,0.83,6.94
savy reyes-kulkarni,1.0,7.7,,7.7,7.7,7.7,7.7,7.7,-0.16,0.1,0.29,0.82,7.7
scott hreha,16.0,7.62,1.34,3.4,7.45,7.9,8.45,8.9,-0.1,0.1,0.32,0.84,7.62
scott plagenhoef,151.0,7.66,1.41,3.3,6.8,7.8,8.7,10.0,-0.09,0.11,0.33,0.86,7.71
sean fennessey,74.0,7.07,1.33,2.4,6.4,7.2,7.88,9.5,-0.1,0.1,0.26,0.84,7.07
sean fennessy,1.0,8.3,,8.3,8.3,8.3,8.3,8.3,-0.05,0.08,0.28,0.89,8.3
sean t. collins,1.0,8.1,,8.1,8.1,8.1,8.1,8.1,-0.06,0.1,0.36,0.87,8.1
seth colter walls,70.0,7.7,0.86,4.5,7.43,7.95,8.2,9.1,-0.04,0.1,0.31,0.87,7.7
seth colter-walls,1.0,9.0,,9.0,9.0,9.0,9.0,9.0,-0.06,0.09,0.29,0.86,9.0
shan fowler,4.0,6.85,0.75,5.8,6.55,7.1,7.4,7.4,-0.08,0.1,0.24,0.85,6.85
sheldon pearce,59.0,6.98,0.86,4.4,6.5,7.0,7.55,8.6,-0.09,0.1,0.3,0.86,6.98
sheldon pearce ,1.0,6.8,,6.8,6.8,6.8,6.8,6.8,-0.07,0.1,0.34,0.86,6.8
simon goddard,1.0,8.6,,8.6,8.6,8.6,8.6,8.6,-0.06,0.12,0.29,0.83,8.6
simon reynolds,4.0,8.85,0.97,8.0,8.07,8.7,9.48,10.0,-0.09,0.09,0.31,0.87,8.85
spencer owen,33.0,7.08,1.8,2.0,6.7,7.6,8.3,9.5,-0.08,0.11,0.28,0.84,7.08
stacey anderson,11.0,6.42,1.71,2.5,5.55,6.6,7.45,8.5,-0.1,0.1,0.31,0.85,6.42
stephen  m. deusner,1.0,3.8,,3.8,3.8,3.8,3.8,3.8,-0.08,0.11,0.31,0.84,3.8
stephen deusner,17.0,6.92,1.04,4.9,6.4,6.8,7.6,9.3,-0.09,0.11,0.32,0.85,6.92
stephen haag,2.0,7.05,1.34,6.1,6.57,7.05,7.52,8.0,-0.18,0.1,0.32,0.83,7.05
stephen m. deusner,779.0,6.97,1.26,0.2,6.3,7.2,7.8,10.0,-0.1,0.1,0.3,0.85,6.97
stephen m. duesner,1.0,7.8,,7.8,7.8,7.8,7.8,7.8,-0.09,0.09,0.26,0.88,7.8
stephen may,1.0,6.5,,6.5,6.5,6.5,6.5,6.5,-0.09,0.1,0.27,0.85,6.5
stephen thomas erlewine,11.0,8.32,1.07,6.5,7.5,8.5,8.9,10.0,-0.06,0.09,0.29,0.88,8.32
stephen trouss,25.0,7.12,1.23,5.0,6.1,7.5,8.0,8.7,-0.08,0.11,0.33,0.86,7.12
steven byrd,9.0,5.62,2.86,0.2,5.3,5.3,7.8,9.0,-0.2,0.1,0.3,0.79,5.62
steven hyden,64.0,6.62,1.02,4.0,6.07,6.8,7.4,9.2,-0.09,0.11,0.31,0.85,6.62
"stosh ""piz"" piznarski",1.0,7.7,,7.7,7.7,7.7,7.7,7.7,-0.03,0.11,0.26,0.88,7.7
stuart berman,542.0,7.05,1.12,1.0,6.6,7.2,7.7,10.0,-0.11,0.09,0.33,0.86,7.05
t. cole rachel,32.0,7.1,0.69,5.7,6.7,7.05,7.6,8.5,-0.07,0.12,0.36,0.85,7.1
tal rosenberg,16.0,7.12,0.94,4.6,6.9,7.4,7.7,8.5,-0.07,0.08,0.25,0.9,7.12
tayler montague,1.0,7.3,,7.3,7.3,7.3,7.3,7.3,-0.12,0.1,0.36,0.84,7.3
taylor m. clark,15.0,7.27,1.29,5.4,6.3,7.2,8.05,9.1,-0.08,0.11,0.28,0.83,7.27
tess duncan,7.0,7.07,0.37,6.6,6.85,6.9,7.35,7.6,-0.13,0.09,0.24,0.86,7.07
the pitchfork staff,1.0,8.0,,8.0,8.0,8.0,8.0,8.0,-0.17,0.09,0.27,0.84,8.0
thea ballard,11.0,7.26,0.57,6.2,6.95,7.2,7.65,8.2,-0.09,0.07,0.24,0.89,7.26
tim finney,105.0,7.39,0.75,5.7,7.0,7.3,8.0,8.9,-0.08,0.11,0.36,0.85,7.36
timmhotep aku,1.0,7.1,,7.1,7.1,7.1,7.1,7.1,-0.13,0.06,0.16,0.87,7.1
tom breihan,269.0,6.7,1.51,1.6,5.9,7.1,7.8,9.5,-0.12,0.1,0.28,0.84,6.7
tom ewing,51.0,7.39,1.91,2.3,6.35,7.8,8.8,10.0,-0.09,0.12,0.34,0.84,7.39
vanessa okoth-obbo,7.0,6.79,0.64,6.1,6.35,6.5,7.2,7.8,-0.04,0.12,0.37,0.84,6.79
vish khanna,2.0,7.55,0.21,7.4,7.48,7.55,7.62,7.7,-0.02,0.14,0.33,0.86,7.55
will bryant,14.0,6.14,1.96,2.6,5.8,6.95,7.35,8.4,-0.12,0.09,0.27,0.85,6.14
will dukes,3.0,6.9,1.11,5.7,6.4,7.1,7.5,7.9,-0.06,0.15,0.35,0.8,6.9
william bowers,149.0,6.97,1.19,2.1,6.5,7.0,7.9,9.1,-0.12,0.08,0.24,0.85,6.97
william morris,38.0,6.54,1.24,3.0,6.0,6.8,7.38,8.3,-0.09,0.1,0.28,0.85,6.54
winston cook-wilson,48.0,7.3,0.63,6.3,6.8,7.2,7.62,9.3,-0.1,0.09,0.29,0.86,7.3
yancey strickler,2.0,7.1,1.27,6.2,6.65,7.1,7.55,8.0,-0.06,0.08,0.21,0.89,7.1
zach baron,134.0,6.92,0.92,4.4,6.4,7.0,7.6,9.3,-0.12,0.08,0.25,0.86,6.92
zach hammerman,1.0,7.5,,7.5,7.5,7.5,7.5,7.5,-0.05,0.1,0.24,0.89,7.5
zach hooker,41.0,7.1,1.42,3.6,6.6,7.5,8.0,9.5,-0.08,0.09,0.25,0.86,7.1
zach kelly,195.0,6.56,0.95,3.7,6.1,6.7,7.2,8.5,-0.08,0.12,0.35,0.84,6.56
zach vowell,1.0,7.1,,7.1,7.1,7.1,7.1,7.1,-0.14,0.12,0.32,0.81,7.1
zoe camp,82.0,6.84,0.96,4.0,6.2,6.9,7.48,8.7,-0.16,0.09,0.28,0.84,6.84
